EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c)
0,60189,0.0117547,-0.0160212,0.0114809,0.0229491
0,60190,-0.0610386,-0.0211771,0.0467497,0.0797478
0,60191,-0.00636746,0.000302106,-0.00137064,0.00652031
0,60193,0.0102715,0.000693677,-0.00790435,0.0129794
0,60194,0.0207339,-0.00212739,0.00429297,0.0212803
0,60196,0.00107651,0.00087555,0.00342989,0.00369994
0,60198,0.0178533,0.017075,0.00735079,0.0257747
0,60199,0.00315081,-0.00419643,0.0035397,0.00632986
0,60201,-9.59023e-05,0.00489422,0.00611786,0.00783523
0,60203,0.000146248,-0.000244866,0.00627488,0.00628136
0,60205,-0.00359353,0.00157671,-0.00295538,0.00491261
0,60206,-0.00129363,0.0450063,0.030191,0.0542101
0,60207,-0.00382602,0.00568809,0.00294959,0.00746277
0,60208,-0.00755235,-0.011176,0.0201587,0.0242551
0,60209,0.00454488,-0.00173593,-0.00057752,0.00489928
0,60211,-0.00156199,-0.0104662,-0.0165858,0.0196741
0,60212,-0.00314388,-0.00187966,0.00542304,0.0065442
0,60214,-0.00307042,-0.00496883,-0.00765218,0.00962666
0,60215,-0.02248,-0.0197633,-0.0260684,0.0396926
0,60217,0.00150267,0.00170716,0.00513732,0.00561822
0,60219,-0.00236681,-0.00154729,0.00378911,0.00472792
0,60221,-0.0122535,-0.0058456,0.00583916,0.0147789
0,60223,0.00218853,0.00834909,-0.000734877,0.00866239
0,60224,-0.00107344,-0.00619759,0.00915771,0.0111097
0,60226,-0.00559555,0.00277341,0.00231196,0.00665936
0,60228,0.00209533,0.00195449,0.00297764,0.0041324
0,60230,-0.00296607,0.000251242,0.00397075,0.00496262
0,60232,-0.012654,-0.00680795,0.0307566,0.0339476
0,60233,-0.00179396,-0.00442535,0.0035003,0.00592065
0,60235,-0.00324179,-0.00630603,0.0158107,0.0173278
0,60237,-0.00696458,0.0129109,-0.00413812,0.0152421
0,60238,0.00367124,0.0036568,-0.00460801,0.00693426
0,60239,-0.00515724,-0.000481163,0.00362446,0.00632182
0,60241,-0.00554114,0.0345809,0.0293969,0.0457244
0,60243,-0.00540876,-0.00774763,0.00323504,0.00998729
0,60245,-0.010055,-0.00465394,0.00956854,0.0146396
0,60247,0.0331251,-0.0187709,0.00399226,0.0382826
0,60248,0.00659355,0.000699486,-0.0016248,0.00682673
0,60249,-0.00268947,-0.00164687,0.0098843,0.0103752
0,60251,0.00283035,0.000300359,-0.0014937,0.00321438
0,60253,0.0245494,-0.00750447,0.0110731,0.0279572
0,60254,-0.0100619,0.00840362,0.0183392,0.0225431
0,60256,0.000461828,-0.0279703,-0.0124143,0.030605
0,60257,-0.00161639,0.00294998,0.00494105,0.00597738
0,60259,0.0017767,0.000987674,0.00536693,0.00573899
0,60261,-0.00638408,0.0163499,0.0376494,0.0415398
0,60262,-0.00314142,0.00455713,0.0107441,0.012086
0,60264,0.0153952,-0.0169619,0.0108962,0.0253662
0,60265,0.000901468,-0.0043896,0.00391105,0.0059479
0,60267,-0.00217169,0.0150312,0.0551149,0.0571691
0,60269,0.00201791,-0.00126706,0.00265699,0.00356889
0,60271,0.00271111,-0.0002481,-0.0035196,0.00444963
0,60272,0.00367101,-0.00239631,0.0166421,0.0172098
0,60274,-0.0193882,0.013341,0.0156074,0.0282396
0,60275,0.00591435,-0.000229805,0.00487165,0.00766586
0,60277,0.0104764,0.00392456,0.00292851,0.0115643
0,60279,0.00214849,-0.00091418,0.00396536,0.00460172
0,60281,0.00643925,-0.00182492,0.0053595,0.0085743
0,60283,0.00560241,0.00131094,0.00116696,0.00587089
0,60285,-0.00505882,0.00347795,0.00481762,0.00780367
0,60287,-0.00765919,-0.00294834,0.00451663,0.00936781
0,60289,-0.0015674,-0.00619007,0.0131988,0.0146622
0,60291,0.00436349,-0.00299979,-0.00309766,0.00613468
0,60293,-0.00474037,0.00339642,0.00826411,0.0101145
0,60295,-0.00089398,0.00317811,0.00176769,0.0037449
0,60297,-6.53749e-05,0.000124576,0.00302515,0.00302842
0,60299,-0.00301755,0.0027977,0.00119257,0.00428427
0,60301,0.00472658,0.000405682,-0.00877921,0.00997896
